review_id,text,rating,location_sentiment,room_sentiment,service_sentiment,value_sentiment,overall_sentiment,text_length
0,"beautiful accomodations stayed hotel santa maria novella night wished stayed entirety days florence simply gorgeous accomodations, room stayed cheapest rate available assuming simplest abode offer beautiful hardwood floors bed linens comfortable mattress difficult italy drapes fantastic marble bathroom, nicer expecting especially price, location not central 10-minute walk sights close train station away noise bustle busier locations, close upscale shopping lots trattorias, nice oasis hectic sightseeing florence highly recommed hotel hotels higher ranked website,  ",4,5,5,0,5,15,570
1,"great hotel great location hotel located la rambla city centre close access shops tour buses.the room immaculate 42 plasma screen screen bathroom.there nice blue ambient lighting room good amenities.the bathroom large equipped.concierge staff overall friendly helpful recommended lot restaurants night spots visit absolutely wonderful.there business centre use free open 24 hours.the thing disliked face in-room safe bit small did not fit laptop.i definitely recommend hotel,  ",5,1,1,5,0,7,477
2,"beautiful hotel great location like beautifully appointed room furniture linens lighting wo n't disappointed, stayed nights oct. 2004. got idea hotel faced sea does gothic quarter does n't, room sea view great room small window faces light, no views gothic quarter quite disappointed, room lovely dark faced light, smaller expected gorgeous attention furniture linens lighting bath amenities, location nice just steps away gothic quarter ramblas free use hotel internet connection great checking email,  ",4,5,5,3,0,13,504
3,"great deal waikiki trip hawaii outrigger luana great hotel/condo, booked city view kitchenette, kitchen amenities ask, nice pool cabanas sun gets, barbeque area feel like getting fresh fish market highly recommended, staff friendly accommodating allowing access garage shower room 8 hours checked, 18/day parking little steep want explore life waikiki great hotel beginning main strip, tour desk not open probably went season desk touch tour desks outriggers waikiki happy make arrangements, beach minute walk away pay upwards 100/night right beach,  ",4,4,4,4,0,12,551
4,"choose airport hotel busy triparound australia arrived place rudest receptionist, corridors room looked like bombsite no warning room mid decoration.very expensive room service no mini bar.laundry crazy prices.no air gym.room key failed 6 times.airport shuttle driver 2 near misses dropped wrong terminal,  ",1,0,-2,-2,-1,-5,307
5,"best hotel stayed picked hotel casablanca based recommendations tripadvisor not disappointed, location good staff extremely friendly helpful rooms reasonable size clean equipped peaceful spite bustling location breakfast delicious continental better normally come expect term, best feeling tranquility busy day town return oasis calm enjoy delicious hazelnut coffee buns head room freshen coming later cheese prosecco sound piano music background.ok n't exactly cheap, new york, stayed expensive luxury hotels felt mightily ripped, not time- definitely casablanca,  ",5,6,6,6,-1,17,566
6,"returning just returned staying property business trip, used outstanding service premier hotels hong kong mandarin oriental impressed cream crop, normally stay ritz carlton imminent closing jan 31 opted stay refurbished mandarin, rooms particularly outstanding service attention detail/customer satisfaction reproach, returning hong kong months vacation just canceled reservation seasons re-booked instead mandarin, impressive venue,  ",5,0,0,0,0,0,435
7,"perfect choice perfect location hotel not choice booked website nh caransa just opposite square switched schiller.we lucky.. upgraded stayed renewed room floor quiet large confort need.the location hotel perfect city center looking quiet place better choose different place rembrandtplain restaurants bars intense night life staff kind 3 nights fantastic.enjoy amsterdam,  ",4,3,0,2,0,5,373
8,"fantastic, just returned home weekend intercontinental berlin felt need write immediate review, absolutely loved hotel nothing didn t like, vitality club fantastic really good facilities thoroughly enjoyed afternoon swim sauna, food la cafe excellent particularly chinese food, room lovely beds extremely comfortable, hotel great location close main thorougfares able sightseeing tour city, definitely recommend hotel looking special weekend berlin, definitely book hotel,  ",5,7,7,7,0,21,474
9,"just, harbour plaza 10 nights holiday trip.the hotel beautiful lobby not really big impressive.concierge ceck-in valet service best.the food restaurant fantastic, stayed superior room garden wiev big really clean furnished, size rooms not usual size chinese hotel room, big beds comfortables, housekeeping helpful efficent, entire hotel really really clean, inside bathroom ok cleanliness furniture shower complimentary bath set, floor 21.st floor deck pool not big faboulous wiev magnificent victoria harbour, food served pool bar fine maybe little bit expensive, pool wall glass able open eyes water unbelievable skyline hong kong, fitness center equipped breathtaking wiev pool, waiting, harbour plaza,  ",5,0,3,5,-1,7,707
10,"excellent spent 3 nights beginning august, hotel excellenty situated good value got great rate independent website, despite spg card earned upgrade, rooms furnished bathroom featured double sinks, rate included breakfast good plenty choice good quality, beware hotel bar expensive n't unexpected plenty options nearby tired hot afternoon, definitely recommended base short break visit,  ",5,3,3,3,3,12,387
11,"let know hate americans minute entered hotel sinking feeling, check confusing tedious 40 group think happy large party, rooms scattered complex, filthy smelled mold growing walls towels, room razor blade floating toilet bugs, rooms not morning no clean towels left, social staff downright rude belly man, ignored lewd comments girls.it clear hated americans, no offered help really 1 place eat buffet seating reservation partially buffet, food worst tasted prior departure assumption eat riu restaurants did n't tell cost 40.00 extra person, 70 style foul smelling disco extra charge, day arrived member party slipped wet floor no not drink arm went glass table requiring 30 stiches, hotel cab way fare paid pay 600, hospital treated positive tour bus drivers nice beach beautiful beaches cancun st thomas st maarten like,  ",1,0,1,-1,-1,-1,824
12,"let year trip punta cana husband planning trip peoples reviews quite helpful, october went grand flamenco honeymoon, dissapointed general service terrible mean terrible, breakfast did n't server approach offer tea/coffee week, dinner slight improvement server come maybe twice meal, past worked food/drink industry appreciate good service really ca n't stand bad service, food average overall buffet lot things, highlight breakfast omelet area pick ingredients cooked right spot, nice, went mexican la carte.. big mistake n't, sat seriously 45 minutes approached server.. 15-20 minutes drinks came table, main course came maybe 45 minutes later time husband hungry feeling sick food presentation poor totally unappetizing, took bite entrees got left, terrible.in general service worst men women resort reps waiting outside buffet breakfast everyday attack try sell times shares resort.. day, annoying uncomfortable.on bavaro beach beautiful, absolutely breath taking, spent lot time beach n't problem finding lounger, beach volleyball fun food beach restaurant pretty good, rained times clear 30 minutes later, went snorkelling day amazing, time snorkelling loved, snorkel guide great really friendly helpful.our room nice right near beach, complaint room bathroom, dirty looking paint chipping, bathtub ran completely shallow cover half body, not mention water pressure terrible took 30-40 minutes run bath.i definitely return punta cana not grand flamenco, not impressed,  ",2,0,-1,7,0,6,1475
13,"dream just returned glorious week grand palladium bavaro, admittedly little hesitant reading hit miss reviews site amazing week amazing time resort, mention not time travellers time dominican republic.first say frustrations just couple ignorance pace life dominican, toronto used hustle bustle big city, not dominican, time really saw truly hustling toronto style porters airport, little understanding little patience new respect dominicans remember not world moves lifestyle pace, frustrating experience desk check-in little slower expected, careful consideration check-in process took maybe 5 minutes instead 2 minutes took stride.after experience desk little wary honesty uphill there.here summary positives agree past reviews jr. suite beautiful clean great water pressure temperature great jacuzzi tub working mini-fridge re-stocked 2nd day fine, left 10.00 beginning trip service outstanding.- beaches wonderful picture perfect early want palapa busy sections resort, undiscovered treasure palapas east end bavaro resort free day, sure saw people save spots not use n't bothered it.- pool beautiful hot great service early grass, grounds immaculate, constantly upkept staff husband say groundskeeper washing walkway soap water, service no issues service staff friendly helpful supply drinks table little waiting hint table buffet waiter usually 2-3 minutes order drink buffet voila, staff not speak lot english prepared, thought charm wanted learn speak little spanish, certainly not expect visitors canada know entire language nor expect learn 10 languages communicate visitors canada, family resort kids honesty bonus wanted relax, not, hit miss stick restaurants bavaro review.la cathedral buffet bavaro excellent, lots variety excellent quality.la arriciefe lunch buffet excellent, lots variety excellent quality.sports bar not good hey went dominican try new food think north american burgers hot dogs dominican think, resort definiately not hamburgers hot dogs crowd, la cartela quixote seasoned palate, highly recommend grouper main dish outstanding, easily best meal week, restaurant went bavaro la carte.la uva dominican specialties, good spanish night not good meal good.mare nostrum italian food, good, recommendation small portions salad bar portions enormous, great time, sensitive stomach husband got sick nor did hear getting sick.my husband chef quite worried not like food, loved, rate food hot fresh lots variety flavour.ok negatives it- not people looking lot interaction vacationers resort n't lot mingling guests part- resort not people looking party night disco resort people looking relax unwind.we planning trip year definiately return resort,  ",5,4,3,9,1,17,2675
14,"days el conquistador lovely resort things, days days resort dine restaurants spend hours private island play casino relax pools.excellent friendly service check, allowed check early getting rooms closely located requested deluxe ocean view, room rates extremely overpriced book online paying just room rate, checkout slapped room tax resort fee likely room charges drinks meals eating/drinking resort overpriced prices, feel like staying resort compound location resort limits access fajardo area unless rental car, avis counter rent car day day trip el yunque n't miss rainforest venture luquillo beach lunch.palomino island fun food/drink options limited amenity not resorts, pack snacks water not stuck paying high prices.one thing useful amenity self-serve laundry, way n't pay 50 items laundry overall nice resort n't restrict caribbean vacation miss beautiful island,  ",4,1,1,1,1,4,875
15,"wonderful hotel hotel vintage park boutique hotel kimpton hotels group known lovely eco-friendly, stayed hotels town far nicest serveral reasons, not big fan big chain hotels stay occasions, prefer personable places remember come, joined club arrived kimpton hotel treated regular, special gifts room just ordered, orgainc fruits sparkling water chocolates daughters myself.when showed hotel sick, n't sleeping keeping family night coughing, spoke desk maybe getting room floor easily accommodated despite fact hotel pretty, moved higher floor rooms hall, elevator right room heard noise coming hall elevators rooms me.i later sister paul newman stayed hotel week arrived, n't normally rub shoulders rich famous taste eco-friendly places par, n't expensive, great agree parking garage expensive protected, free overnight parking streets 6pm 7 8 parking permit plan stay longer, personally doing morning prefered spending couple extra dollars worth extra hour sleep.wonderful morning coffee teas, saw food mornings, missed wine hour did n't chance eat restaurant eating family time tourists.i certainly stay kimpton hotels town,  ",4,0,4,5,1,10,1129
16,"lovely hotel just come amsterdam brilliant time.we stayed hotel 3 nights thought lovely not saw day night.i reccomend sure,  ",4,0,0,0,0,0,125
17,"fabulous night florence able check early no problems checking late day got delayed, fairly average hotel rome excited saw room really modern, girl desk absolutely lovely gave heaps info, felt comfortable having nice relaxing bath room clean, breakfast morning unbelievable think hubby went nuts totally overate, absolutely loved florence hotel extra special, really close train easy walking distance sites shops restaurants,  ",5,4,4,4,4,16,426
18,"great stay stayed cambridge suites sept 29-oct 3 thought wonderful, none understood bad reviews, standard suite larger normal hotel room probably cheaper, free breakfast good comparable not better conferences, free bottled water extra plus, staff helpful pleasant, great location near subway path, restaurant pricey cheaper places close, definitely stay,  ",5,3,3,3,3,12,356
19,"ideal way, wife 49 more-or-less grown children 14 25 descended bahia principe punta cana second week august 2006 celebrate milestone lives, all-inclusive thing observations considered not rank novice light admitted cynicism people manage connoisseurs sort holiday, broad elements experience perfect beach postcard perfect design resort elegant practical people friendly food drinks copious appealing spotless no lineups, short resort life quite unlike regular lives familiar idle luxury amused variations facade i__Ç_é not sure stand especially airport shuttle hurries neighbourhoods hot crowded concrete sheds feet highway, thankfully taste grand luxury pure leisure lots comedy, perfection turns probably tedious.i suppose definition resort experience elaborately contrived leisure so-called la carte restaurants theatrics lurch high gear, good north americans developed healthy suspicion organization obviously coached minimum wage staff exceptionally obsequious fawning n't long trading glances ministrations required multiple waiters wine stewards busboys maitre d chef-like fellows swooping stand-alone eateries serving complex variations food available buffet, clearly la carte experience crafted appeal visitors want feel pampered regardless actual fare, despite great ceremony wine standards laughably bad desserts fashionably drizzled chocolate syrup quite recently-thawed quality favourite japanese restaurant unspoken motto gon na know difference, embraced desperately, twenty-somethings early 80 wife spent years teaching japan fact actually did know difference, example walls decorated seemingly authentic calligraphy able identify characters scroll reading, similarly tempura great sushi just nice loblaws bento cook batch rice-a-roni scratch right eyes, fried rice consistency quaker harvest crunch novelty no japanese recognize let cook daughter enjoyed, followed standard pre-grocery-trip stir fry prepared great flourish friendly cook repeatedly tapped haircut bits cleaver, let repeat aside wine none bad unenjoyable, vaguely oriental griddle mix concoctions dubious authenticity restaurants prepared earnestness pleasure eat waiters/actors bless souls delivered head office mandate admirable dedication, especially staff far home buffet atmosphere relaxed food honest hospitality dominican, buffet quite simply best array food experimented sampled recklessly no ill-effect, forever crave called, 18 year old day visit pointed small green lizard building wall look tayoda, similar reduced spread food available conveniently beach just well-thought-out amenities, line-ups, trolley space loungers shade beach arrived, fact blight beach suspect labouring heat luggage variously greased sunburned highly conspicuous topless sand nymphs europe, dieu les canadiens, n't let set camp, say ventured tended stand bit regular clientele largely european typically indulge pleasures elegant simplicity half bathing suit book word searches good, oddly absent mix guests americans gay couples, sad reason felt wise discreetly radar, unspoken foreign voice beach beseeching discretion overfed guy faux-tilley hat, weather perfect came huge surprise, wife 18 year old obsessive weather junkies routine times tracking disturbances comparing stats weeks departure, best told expect sweltering humidity daily drizzle caribbean, august, people mental, house meteorologists sagely concurred escape confinement sort disaster relief facility considered major success, turned rain fell week spectacular cloudburst visiting santo domingo safely discount rum shop 6 minute duration, day sunny comfortable 30 32 degrees steady gentle breeze sea encampment sand positively temperate infinitely better record heat wave roasted ontario july, lucked, unfortunately dominicans did n't foresight stage major events history close punta cana resort strip long bus ride santo domingo, agreed interesting lengthy day served extra purpose provided relief leisure, unlikely phenomenon certainly complain came point day 5 think notion dragging butts unrelenting perfection beach losing charm, add bobbing neck-deep swim-up bar doro monkey hand unlikely diminish charm wife danger discovering tepid bathtub beverage sunglasses later tonight afraid, maybe unlike roasted european seniors speedos maximum capacity leisure luxury day 7 rolled happily hung lobby bar wait bus drinking iced tea orange juice far sun possible.all ca n't imagine better, resort does need better introductory booklet issue room key explain all-inclusive features initial befuddled exploration fun,  ",5,4,4,6,6,20,4555
